"id"	"brand"	"title"	"price"	"score"	"voteCnt"	"url"	"pid"	"brand_id"
"86"	"苹果"	"苹果iPhone 7（全网通） "	"3628"	"8"	"475"	"http://detail.zol.com.cn/cell_phone/index384973.shtml"	"384973"	"2"
"87"	"苹果"	"苹果iPhone 7 Plus（全网通） "	"4499"	"8.1"	"335"	"http://detail.zol.com.cn/cell_phone/index1104332.shtml"	"1104332"	"2"
"88"	"苹果"	"苹果iPhone 6S Plus（全网通） "	"3000"	"8"	"279"	"http://detail.zol.com.cn/cell_phone/index398690.shtml"	"398690"	"2"
"89"	"苹果"	"苹果iPhone 5S（双4G） "	"1199"	"8.2"	"2964"	"http://detail.zol.com.cn/cell_phone/index340414.shtml"	"340414"	"2"
"90"	"苹果"	"苹果iPhone 8 Plus（国际版/全网通） "	"5188"	"8.5"	"84"	"http://detail.zol.com.cn/cell_phone/index1204817.shtml"	"1204817"	"2"
"91"	"苹果"	"苹果iPhone 7 Plus（双4G） "	"4388"	"8.1"	"335"	"http://detail.zol.com.cn/cell_phone/index1177080.shtml"	"1177080"	"2"
"92"	"苹果"	"苹果iPhone 8（国际版/全网通） "	"4688"	"6.8"	"254"	"http://detail.zol.com.cn/cell_phone/index1204816.shtml"	"1204816"	"2"
"93"	"苹果"	"苹果iPhone X（国际版/全网通） "	"6888"	"8"	"191"	"http://detail.zol.com.cn/cell_phone/index1204818.shtml"	"1204818"	"2"
"94"	"苹果"	"苹果iPhone 7 Plus（国际版/全网通） "	"4749"	"8.1"	"335"	"http://detail.zol.com.cn/cell_phone/index1155434.shtml"	"1155434"	"2"
"95"	"苹果"	"苹果iPhone 6S（国际版/双4G） "	"2320"	"7.3"	"551"	"http://detail.zol.com.cn/cell_phone/index1100448.shtml"	"1100448"	"2"
"96"	"锤子科技"	"锤子科技坚果Pro 2S（4GB RAM/全网通） "	"1798"	"6.3"	"22"	"http://detail.zol.com.cn/cell_phone/index1227474.shtml"	"1227474"	
